message,label
"Congratulations! You’ve been chosen to receive a free vacation!",spam
"Let’s meet at the usual spot tomorrow morning",ham
"Double your income instantly! Start earning today!",spam
"Don’t forget to submit your report by Friday",ham
"Special offer: Buy one, get one free!",spam
"I really enjoyed our discussion yesterday",ham
"Win exclusive tickets to the concert of your dreams!",spam
"Can you send me the latest version of the document?",ham
"Lowest mortgage rates available now! Apply today!",spam
"Looking forward to your presentation",ham
"Earn $10,000 monthly without leaving your home",spam
"How’s everything going with the project?",ham
"Exclusive deal for members only! Click to access",spam
"See you at the meeting this afternoon",ham
"Your account has been compromised. Verify immediately!",spam
"Please review the attached draft",ham
"Claim your free smartwatch today!",spam
"Thanks for taking the time to help",ham
"Guaranteed weight loss in just 10 days!",spam
"Let’s catch up over lunch this weekend",ham
"Get a free trial of our premium plan now",spam
"I’ll handle the client call at 2pm",ham
"Unbelievable discounts on luxury cars!",spam
"Can we move the appointment to next week?",ham
"Work from anywhere! No experience needed!",spam
"Appreciate your feedback on this",ham
"Unlock your hidden potential! Free online course!",spam
"Don’t forget to send the invoice",ham
"Instant approval for your loan application!",spam
"Hope you’re enjoying your vacation",ham
"Get 90% off on designer brands!",spam
"Let’s finalize the proposal today",ham
"Click here to claim your $500 Amazon gift card",spam
"Thanks for reminding me about the meeting",ham
"Act fast! Only 3 spots left for this amazing deal!",spam
"Please confirm your attendance",ham
"Win a free laptop by completing this short survey!",spam
"Good luck on your presentation tomorrow",ham
"Boost your credit score overnight!",spam
"Are you free for a quick call later?",ham
"FREE membership upgrade for a limited time!",spam
"I’ll send you the updated report shortly",ham
"Get paid for watching videos online!",spam
"Could you please check this for me?",ham
"100% guaranteed returns on your investment!",spam
"Thanks again for your quick response",ham
"Claim your instant cash bonus today!",spam
"See you at the workshop",ham
"Your subscription will expire soon. Renew now!",spam
"I really liked your suggestion",ham
"Free webinar: Learn how to make passive income",spam
"Did you receive the files I sent?",ham
"Congratulations! You’ve qualified for a special bonus",spam
"Can we have a short meeting today?",ham
"Win exclusive rewards by signing up now!",spam
"Thanks for organizing the event",ham
"Limited-time sale! Everything must go!",spam
"Looking forward to your reply",ham
"Upgrade to premium and enjoy exclusive perks!",spam
"Could you review this before submission?",ham
"Make thousands working part-time from home!",spam
"I appreciate your honesty",ham
"Claim your lottery winnings today!",spam
"I’ll check and get back to you",ham
"Best deal of the year! Save 75% now!",spam
"How’s your family doing?",ham
"Fast track your success with our proven system!",spam
"Please share the project timeline",ham
"Buy now and get free shipping!",spam
"See you at the dinner tonight",ham
"Your payment has been received successfully",ham
"Unlock premium access with this special code!",spam
"Let’s discuss the budget tomorrow",ham
"Exclusive insider deal! Don’t miss out!",spam
"Thanks for the detailed explanation",ham
"Instant crypto profits! Invest now!",spam
"Please send me the presentation slides",ham
"Earn rewards for every friend you refer!",spam
"Great job on the report",ham
"FREE access to advanced trading strategies!",spam
"Can we postpone the meeting to next Monday?",ham
"Claim your free coffee coupon today!",spam
"Thanks for the quick update",ham
"Guaranteed approval—no credit check needed!",spam
"Would you like to grab lunch later?",ham
"Get exclusive flight discounts today!",spam
"Please review the budget section again",ham
"Win a dream car! Enter before midnight!",spam
"Appreciate your input on this matter",ham
"Your delivery is waiting—confirm now!",spam
"I’ll let you know once it’s done",ham
"Congratulations! You’re today’s lucky winner!",spam
"Do you have time to discuss the changes?",ham
"Special discount for loyal customers!",spam
"Thanks for helping me out yesterday",ham
"Limited-time crypto investment offer!",spam
"Could you forward this to John?",ham
"Earn cash instantly by completing surveys!",spam
"I really value your advice",ham
"Get your free credit report instantly!",spam
"Let’s wrap up by tomorrow",ham
"Exclusive VIP membership invitation!",spam
"Thanks for confirming the schedule",ham
"Buy one, get one free! Ends soon!",spam
"Please approve the final draft",ham
"Act now to avoid service interruption!",spam
"How’s your day going?",ham
"Win huge prizes by answering a few questions!",spam
"Appreciate your cooperation",ham
"Don’t miss out on this amazing opportunity!",spam
"See you at 10am sharp",ham
"FREE ebook on how to grow your business!",spam
"Thanks for your understanding",ham
"Get your exclusive bonus offer today!",spam
"I’ll send the files once they’re ready",ham
"Start earning passive income now!",spam
"Can you double-check the figures?",ham
"Your reward is waiting—click to claim!",spam
"I’m on my way",ham
"Increase your followers instantly!",spam
"Please finalize the slides today",ham
"Instant cashback on your next purchase!",spam
"Glad to hear from you again",ham
"Hot new deals on electronics!",spam
"Let’s catch up next week",ham
"FREE crypto airdrop—claim before it’s gone!",spam
"Could you update the client record?",ham
"Limited offer: Save big on your next booking!",spam
"Thanks for your assistance",ham
"Earn daily profits automatically!",spam
"Meeting postponed to 4pm",ham
"Click here for an exclusive bonus!",spam
"I’ll check the document this afternoon",ham
"Win $500 instantly—no purchase required!",spam
"Appreciate your support",ham
"Boost your website traffic instantly!",spam
"Let’s go over the notes together",ham
"FREE online masterclass—register today!",spam
"Good to see you again",ham
"Get a free trial with no credit card required!",spam
"Could you resend that message?",ham
"Instant results with our new formula!",spam
"Hope your week is going well",ham
"Claim up to $100 cashback now!",spam
"Please review the summary section",ham
"Get a $50 bonus when you sign up today!",spam
"Thanks for joining the call",ham
"Unbelievable online income opportunity!",spam
"I’ll send the invoice tomorrow",ham
"Exclusive hotel discounts available now!",spam
"Let’s meet at the office at 11",ham
"Congratulations! You’ve unlocked a special deal!",spam
"Thanks for letting me know",ham
"Limited offer—double your earnings!",spam
"Could you schedule the next meeting?",ham
"Act fast to win amazing prizes!",spam
"Looking forward to seeing you",ham
"FREE GIFT with every purchase!",spam
"Please check your calendar for availability",ham
"Guaranteed profits with zero risk!",spam
"Thanks for your help earlier",ham
"Win cash rewards for signing up today!",spam
"Can we discuss this after lunch?",ham
"Exclusive limited-time deal ends tonight!",spam
"I’ll confirm once it’s uploaded",ham
"Earn up to $1000 daily—join free!",spam
"Good morning, hope all is well",ham
"FREE shipping on all orders today!",spam
"Could you send me the summary?",ham
"Get rich quick—no experience needed!",spam
"Thanks for clarifying",ham
"Limited-time flash sale! Shop now!",spam
"I appreciate your effort",ham
"Your chance to win a luxury cruise!",spam
"See you next week",ham
"FREE bonus offer for new members!",spam
"Please approve the final version",ham
"Work smarter, not harder—join our program!",spam
"Thanks for the reminder",ham
"Your order has been shipped successfully",ham
"Congratulations! You’ve been pre-selected for a prize!",spam
